TRINITY_DN29264_c0_g1,TRINITY_DN29264_c0_g1_i1
TRINITY_DN29244_c0_g1,TRINITY_DN29244_c0_g1_i1
TRINITY_DN29279_c0_g1,TRINITY_DN29279_c0_g1_i1
TRINITY_DN29230_c0_g1,TRINITY_DN29230_c0_g1_i1
TRINITY_DN29295_c0_g1,TRINITY_DN29295_c0_g1_i1
TRINITY_DN29228_c0_g1,TRINITY_DN29228_c0_g1_i1
TRINITY_DN29290_c0_g1,TRINITY_DN29290_c0_g1_i1
TRINITY_DN29274_c0_g1,TRINITY_DN29274_c0_g1_i1
TRINITY_DN29298_c0_g1,TRINITY_DN29298_c0_g1_i1
TRINITY_DN29225_c0_g1,TRINITY_DN29225_c0_g1_i1
TRINITY_DN29235_c0_g1,TRINITY_DN29235_c0_g1_i1
TRINITY_DN29223_c0_g1,TRINITY_DN29223_c0_g1_i1
TRINITY_DN29205_c0_g1,TRINITY_DN29205_c0_g1_i1
TRINITY_DN29215_c0_g1,TRINITY_DN29215_c0_g1_i1
TRINITY_DN29227_c0_g1,TRINITY_DN29227_c0_g1_i1
TRINITY_DN29246_c0_g1,TRINITY_DN29246_c0_g1_i1
TRINITY_DN29218_c0_g1,TRINITY_DN29218_c0_g1_i1
TRINITY_DN29252_c0_g1,TRINITY_DN29252_c0_g1_i1
TRINITY_DN29256_c0_g1,TRINITY_DN29256_c0_g1_i1
TRINITY_DN29292_c0_g1,TRINITY_DN29292_c0_g1_i1
TRINITY_DN29284_c0_g1,TRINITY_DN29284_c0_g1_i1
TRINITY_DN29278_c0_g1,TRINITY_DN29278_c0_g1_i1
TRINITY_DN29253_c0_g1,TRINITY_DN29253_c0_g1_i1
TRINITY_DN29265_c0_g1,TRINITY_DN29265_c0_g1_i1
TRINITY_DN29257_c0_g1,TRINITY_DN29257_c0_g1_i1
TRINITY_DN29240_c0_g1,TRINITY_DN29240_c0_g1_i1
TRINITY_DN29221_c0_g1,TRINITY_DN29221_c0_g1_i1
TRINITY_DN29239_c0_g1,TRINITY_DN29239_c0_g1_i1
TRINITY_DN29251_c0_g1,TRINITY_DN29251_c0_g1_i1
TRINITY_DN29226_c0_g1,TRINITY_DN29226_c0_g1_i1
TRINITY_DN29247_c0_g1,TRINITY_DN29247_c0_g1_i1
TRINITY_DN29241_c0_g1,TRINITY_DN29241_c0_g1_i1
TRINITY_DN29280_c0_g1,TRINITY_DN29280_c0_g1_i1
TRINITY_DN29224_c0_g1,TRINITY_DN29224_c0_g1_i1
TRINITY_DN29258_c0_g1,TRINITY_DN29258_c0_g1_i1
TRINITY_DN29287_c0_g1,TRINITY_DN29287_c0_g1_i1
TRINITY_DN29277_c0_g1,TRINITY_DN29277_c0_g1_i1
TRINITY_DN29299_c0_g1,TRINITY_DN29299_c0_g1_i1
TRINITY_DN29250_c0_g1,TRINITY_DN29250_c0_g1_i1
TRINITY_DN29255_c0_g1,TRINITY_DN29255_c0_g1_i1
TRINITY_DN29294_c0_g1,TRINITY_DN29294_c0_g1_i1
TRINITY_DN29263_c0_g1,TRINITY_DN29263_c0_g1_i1
TRINITY_DN29242_c0_g1,TRINITY_DN29242_c0_g1_i1
TRINITY_DN29267_c0_g1,TRINITY_DN29267_c0_g1_i1
TRINITY_DN29288_c0_g1,TRINITY_DN29288_c0_g1_i1
TRINITY_DN29231_c0_g1,TRINITY_DN29231_c0_g1_i1
TRINITY_DN29286_c0_g1,TRINITY_DN29286_c0_g1_i1
TRINITY_DN29291_c0_g1,TRINITY_DN29291_c0_g1_i1
TRINITY_DN29211_c0_g1,TRINITY_DN29211_c0_g1_i1
TRINITY_DN29293_c0_g1,TRINITY_DN29293_c0_g1_i1
TRINITY_DN29220_c0_g1,TRINITY_DN29220_c0_g1_i1
TRINITY_DN29202_c0_g1,TRINITY_DN29202_c0_g1_i1
TRINITY_DN29219_c0_g1,TRINITY_DN29219_c0_g1_i1
TRINITY_DN29203_c0_g1,TRINITY_DN29203_c0_g1_i1
TRINITY_DN29201_c0_g1,TRINITY_DN29201_c0_g1_i1
TRINITY_DN29213_c0_g1,TRINITY_DN29213_c0_g1_i1
TRINITY_DN29248_c0_g1,TRINITY_DN29248_c0_g1_i1
TRINITY_DN29206_c0_g1,TRINITY_DN29206_c0_g1_i1
TRINITY_DN29282_c0_g1,TRINITY_DN29282_c0_g1_i1
