am2,am,2,Control
am4,am,5,Control
am6,am,8,Control
am1,am,2,QP
am3,am,5,QP
am5,am,8,QP
bt2,bt,2,Control
bt4,bt,4,Control
bt5,bt,5,Control
bt8,bt,8,Control
bt10,bt,10,Control
bt1,bt,1,QP
bt3,bt,3,QP
bt6,bt,6,QP
bt7,bt,7,QP
bt9,bt,9,QP
lf2,lf,1,Control
lf4,lf,2,Control
lf6,lf,3,Control
lf8,lf,4,Control
lf10,lf,5,Control
lf12,lf,6,Control
lf14,lf,7,Control
lf16,lf,8,Control
lf1,lf,1,QP
lf3,lf,2,QP
lf5,lf,3,QP
lf7,lf,4,QP
lf11,lf,6,QP
lf13,lf,7,QP
lf15,lf,8,QP
ln1,ln,1,Control
ln3,ln,2,Control
ln5,ln,3,Control
ln7,ln,5,Control
ln9,ln,6,Control
ln11,ln,7,Control
ln2,ln,1,QP
ln4,ln,2,QP
ln6,ln,3,QP
ln8,ln,5,QP
ln10,ln,6,QP
ln12,ln,7,QP
